Date,MC,Amoeba,Type,dilute,Read1,rd1_new,diulte,Read2,rd_2_new,Avg,STDEV
9,195-2 MC+,WC-1,PC,1,76988,76988,1,84032,84032,,
9,195-2 MC+,WC-1,CHLA,1,6947.2,6947.2,1,8108.9,8108.9,,
12,195-2 MC+,WC-1,PC,0.5,70690,141380,0.5,82461,164922,,
12,195-2 MC+,WC-1,CHLA,0.5,7262.7,14525.4,0.5,8279.8,16559.6,,
14,195-2 MC+,WC-1,PC,0.5,97571,195142,0.5,100072,200144,,
14,195-2 MC+,WC-1,CHLA,0.5,9984.1,19968.2,0.5,10144,20288,,
16,195-2 MC+,WC-1,PC,0.5,97806,195612,0.5,92281,184562,,
16,195-2 MC+,WC-1,CHLA,0.5,10148,20296,0.5,9898.7,19797.4,,
0,22.1-1 MC+,A22.3,PC,1,59829,59829,1,62854,62854,,
0,22.1-1 MC+,A22.3,CHLA,1,5735.2,5735.2,1,6363.3,6363.3,,
2,22.1-1 MC+,A22.3,PC,1,24510,24510,1,24032,24032,,
2,22.1-1 MC+,A22.3,CHLA,1,3040,3040,1,2934.5,2934.5,,
5,22.1-1 MC+,A22.3,PC,1,28903,28903,1,39273,39273,,
5,22.1-1 MC+,A22.3,CHLA,1,3489.1,3489.1,1,4731.3,4731.3,,
7,22.1-1 MC+,A22.3,PC,1,78821,78821,1,65754,65754,,
7,22.1-1 MC+,A22.3,CHLA,1,7441.6,7441.6,1,6677.8,6677.8,,
9,22.1-1 MC+,A22.3,PC,1,65636,65636,1,50880,50880,,
9,22.1-1 MC+,A22.3,CHLA,1,6810.5,6810.5,1,6243.7,6243.7,,
12,22.1-1 MC+,A22.3,PC,0.5,89276,178552,0.5,73852,147704,,
12,22.1-1 MC+,A22.3,CHLA,0.5,8298.3,16596.6,0.5,7196.4,14392.8,,
14,22.1-1 MC+,A22.3,PC,0.5,101459,202918,0.5,98396,196792,,
14,22.1-1 MC+,A22.3,CHLA,0.5,9771,19542,0.5,9765,19530,,
16,22.1-1 MC+,A22.3,PC,1,93590,93590,1,101021,101021,,
16,22.1-1 MC+,A22.3,CHLA,1,12157,12157,1,11432,11432,,
0,22.1-1 MC+,A54.2,PC,1,56785,56785,1,63220,63220,,
0,22.1-1 MC+,A54.2,CHLA,1,5471.9,5471.9,1,6210.6,6210.6,,
2,22.1-1 MC+,A54.2,PC,1,16536,16536,1,27738,27738,,
2,22.1-1 MC+,A54.2,CHLA,1,2384.7,2384.7,1,3202.7,3202.7,,
5,22.1-1 MC+,A54.2,PC,1,40621,40621,1,35004,35004,,
5,22.1-1 MC+,A54.2,CHLA,1,4576.5,4576.5,1,4140.4,4140.4,,
7,22.1-1 MC+,A54.2,PC,1,47495,47495,1,57813,57813,,
7,22.1-1 MC+,A54.2,CHLA,1,5332.2,5332.2,1,6145.2,6145.2,,
9,22.1-1 MC+,A54.2,PC,1,56759,56759,1,62572,62572,,
9,22.1-1 MC+,A54.2,CHLA,1,6656.8,6656.8,1,7575.2,7575.2,,
12,22.1-1 MC+,A54.2,PC,0.5,86036,172072,0.5,79319,158638,,
12,22.1-1 MC+,A54.2,CHLA,0.5,9723.9,19447.8,0.5,8966.1,17932.2,,
14,22.1-1 MC+,A54.2,PC,0.5,96261,192522,0.5,100824,201648,,
14,22.1-1 MC+,A54.2,CHLA,0.5,10369,20738,0.5,10970,21940,,
16,22.1-1 MC+,A54.2,PC,0.5,65590,131180,1,74905,74905,,
16,22.1-1 MC+,A54.2,CHLA,0.5,9188.3,18376.6,1,11319,11319,,
0,22.1-1 MC+,I6-1,PC,1,67489,67489,1,67227,67227,,
0,22.1-1 MC+,I6-1,CHLA,1,7059.7,7059.7,1,7153.2,7153.2,,
2,22.1-1 MC+,I6-1,PC,1,33152,33152,1,29761,29761,,
2,22.1-1 MC+,I6-1,CHLA,1,4288.1,4288.1,1,3982.6,3982.6,,
5,22.1-1 MC+,I6-1,PC,1,40098,40098,1,46533,46533,,
5,22.1-1 MC+,I6-1,CHLA,1,5045.8,5045.8,1,5740.3,5740.3,,
7,22.1-1 MC+,I6-1,PC,1,53112,53112,1,56117,56117,,
7,22.1-1 MC+,I6-1,CHLA,1,6919,6919,1,7283.8,7283.8,,
9,22.1-1 MC+,I6-1,PC,1,56163,56163,1,58854,58854,,
9,22.1-1 MC+,I6-1,CHLA,1,7551.2,7551.2,1,7592.3,7592.3,,
12,22.1-1 MC+,I6-1,PC,0.5,60563,121126,0.5,67325,134650,,
12,22.1-1 MC+,I6-1,CHLA,0.5,8065.7,16131.4,0.5,8370.2,16740.4,,
14,22.1-1 MC+,I6-1,PC,0.5,77741,155482,0.5,77479,154958,,
14,22.1-1 MC+,I6-1,CHLA,0.5,10482,20964,0.5,10454,20908,,
16,22.1-1 MC+,I6-1,PC,1,76988,76988,1,74245,74245,,
16,22.1-1 MC+,I6-1,CHLA,1,14379,14379,1,13785,13785,,
0,22.1-1 MC+,I6-2,PC,1,69342,69342,1,69453,69453,,
0,22.1-1 MC+,I6-2,CHLA,1,6497.9,6497.9,1,6758.2,6758.2,,
2,22.1-1 MC+,I6-2,PC,1,37034,37034,1,40923,40923,,
2,22.1-1 MC+,I6-2,CHLA,1,3948.4,3948.4,1,4150.4,4150.4,,
5,22.1-1 MC+,I6-2,PC,1,37662,37662,1,36602,36602,,
5,22.1-1 MC+,I6-2,CHLA,1,4598.6,4598.6,1,4456.9,4456.9,,
7,22.1-1 MC+,I6-2,PC,1,74919,74919,1,75103,75103,,
7,22.1-1 MC+,I6-2,CHLA,1,7984.3,7984.3,1,8393.3,8393.3,,
9,22.1-1 MC+,I6-2,PC,1,98186,98186,1,104255,104255,,
9,22.1-1 MC+,I6-2,CHLA,1,9713.8,9713.8,1,11007,11007,,
12,22.1-1 MC+,I6-2,PC,0.5,96078,192156,0.5,77610,155220,,
12,22.1-1 MC+,I6-2,CHLA,0.5,10585,21170,0.5,9098.8,18197.6,,
14,22.1-1 MC+,I6-2,PC,0.5,83855,167710,0.5,91201,182402,,
